ID,Year,MONTH,DAY,HOUR,MINUTE,SECOND,LATITUDE,LONGITUDE,magnitude,damages,death,missing,injuries
5428,1994,5,24,4,0,42.1,23.959,122.448,0.02,0,0,0,0
2227,1994,6,2,18,17,34,-10.477,112.835,13.9,2.2,238,423,0
2592,1994,6,3,21,6,59.8,-10.362,112.892,3.7,0,0,0,0
5576,1994,6,4,0,57,50.6,-10.777,113.366,0,0,0,0,0
2593,1994,6,5,1,45,2.7,-10.341,113.369,3,0,0,0,0
2228,1994,9,1,15,15,53,40.402,-125.68,0.07,0,0,0,0
2229,1994,9,19,0,0,0,-4.238,152.214,1.2,0,0,0,0
2230,1994,10,4,13,22,55.8,43.773,147.321,10.4,0,0,0,0
2231,1994,10,8,21,44,7.2,-1.258,127.98,3,0,1,52,0
2232,1994,10,9,7,55,39.5,43.905,147.916,0.2,0,0,0,0
2233,1994,11,4,4,12,0, AK,59.5,87,0,0,1,0
2234,1994,11,14,19,15,30.6,13.525,121.067,7.3,3.7,81,225,0
2235,1994,12,28,12,19,23, JAPAN,40.525,85,0,0,0,0
2236,1995,1,16,20,46,52.1, JAPAN,34.583,85,0,0,0,0
2240,1995,4,7,22,6,56.8,-15.199,-173.529,0.09,0,0,0,0
2241,1995,4,21,0,34,46,12.059,125.58,0.2,0,0,0,0
2242,1995,4,21,5,17,1.3,12.047,125.92,0.2,0,0,0,0
2244,1995,5,13,8,47,12.7,40.149,21.695,0,0,0,0,0
2245,1995,5,14,11,33,21.1,-8.452,125.049,4,0,11,19,0
2246,1995,5,16,20,12,44.2,-23.008,169.9,0.5,0,0,0,0
2247,1995,5,27,13,3,52.6,52.629,142.827,0.1,0,0,0,0
2248,1995,6,15,0,15,48.7,38.401,22.283,1,0,0,0,0
2249,1995,7,30,5,11,23.6,-23.34,-70.294,3,0.131,0,0,0
2250,1995,8,16,10,27,28.6,-5.799,154.178,0.6,0,0,0,0
2251,1995,9,14,14,4,31.4,16.779,-98.597,0.4,0,0,0,0
2252,1995,10,9,15,35,53.9,19.055,-104.205,11,0,1,0,0
2253,1995,10,18,10,37,26.3,27.929,130.175,2.59,0,0,0,0
2254,1995,10,19,2,41,36.1,28.094,130.148,1.5,0,0,0,0
2255,1995,11,1,0,35,32.7,-28.906,-71.417,0.1,0,0,0,0
2256,1995,11,22,4,15,11.9,28.826,34.799,0.1,0,0,0,0
2257,1995,12,3,18,1,8.9,44.663,149.3,1.1,0,0,0,0
2259,1996,1,1,8,5,10.8,0.729,119.931,3.43,1.2,9,63,0
2258,1996,1,1,0,0,0,38.367,22.083,2,0,0,0,0
2392,1996,1,2,15,40,0, KAMCHATKA, RUSSIA,159.43,0,0,0,0
2260,1996,2,17,5,59,30.5,-0.891,136.952,7.7,4.2,110,100,0
2261,1996,2,21,12,51,1.3,-9.593,-79.587,5.1,0,12,57,0
2262,1996,2,25,3,8,15.8,15.978,-98.07,0.1,0,0,0,0
